Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,Î,µ,0,1,2,3,4,5,6,7,8,9
0,1,2,3,2,2,4,2,5,73,73,73,6,73,73,73,7,73,8,9,10,11,12,13,14,2,2,2,15,2,16,2,2,17,18,19,20,21,22,23,24,25,2,2,2,2,2,2,2,2,2,2,2,73,73,26,26,26,26,26,26,26,26,26,26,73
1,2,27,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,28,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
3,2,2,2,31,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
4,2,2,2,2,2,2,32,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
5,73,73,73,73,73,73,73,73,33,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
6,73,73,73,73,73,73,73,73,73,73,73,73,34,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
7,73,73,73,73,73,73,73,73,73,73,73,73,35,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
8,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
9,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
10,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
11,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
12,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
13,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
14,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
15,2,2,36,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
16,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,37,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
17,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
18,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
19,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,38,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
20,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,39,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
21,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,40,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
